Cluster,Number_of_Customers,Percentage_of_Total,Average_Revenue,Average_Completed_Calls,Average_Months_in_Service,Average_Blocked_Data_Calls,Average_Customer_Care_Minutes,Average_Minutes_of_Use,Average_Revenue_per_Month,Average_Call_Drop_Rate
0,333,6.66,158.95,438.16,45.72,0.0,8.6,1973.6,3.48,19.96
1,1470,29.4,83.13,168.92,42.59,0.02,6.38,785.61,1.95,8.72
2,3197,63.94,41.5,56.69,41.25,0.0,1.01,233.02,1.01,2.58
