param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,adjmou,-0.00013851768664997202,0.9998614919064819,1.4704184208922647e-05,-0.00016733735812150298,-0.00010969801517844104,0.9998326766419933,0.9998903080014288,0.0,-9.420290488874459,4.498417590387739e-21,67.5910723991895
alpha_,adjqty,-0.0002976044652683956,0.9997024398145478,3.7411524851274236e-05,-0.0003709297065836183,-0.00022427922395317293,0.9996291390793348,0.9997757459247519,0.0,-7.954887336228404,1.7929458897861166e-15,48.98658947426488
alpha_,adjrev,0.001862302233240423,1.0018640373950092,2.426733983881542e-05,0.0018147391211557507,0.0019098653453250953,1.0018163867567202,1.0019116902997647,0.0,76.74109505244103,0.0,inf
alpha_,area_CALIFORNIA NORTH AREA,0.021205578597719633,1.0214320146160725,0.005678496866199984,0.010075929253644103,0.032335227941795164,1.010126862351168,1.0328636920457814,0.0,3.734364761904021,0.00018818958101675392,12.375525623064053
alpha_,area_CENTRAL/SOUTH TEXAS AREA,0.052078676040046054,1.053458621205707,0.006387271615105714,0.03955985371496387,0.06459749836512824,1.0403527659993983,1.066729577564531,0.0,8.153508912456687,3.5351419434034394e-16,51.3290813747521
alpha_,area_CHICAGO AREA,0.014019273329485113,1.0141180041805722,0.005875563016723609,0.0025033814278113287,0.025535165231158896,1.002506517503483,1.0258639803801712,0.0,2.386030630525461,0.01703133246029843,5.8756648799100555
alpha_,area_DALLAS AREA,0.04451608866884201,1.0455217976291113,0.005883825664605592,0.0329840022749026,0.056048175062781425,1.0335340049161605,1.0576486347986982,0.0,7.565840867215096,3.8536357806419193e-14,44.56077310403704
alpha_,area_DC/MARYLAND/VIRGINIA AREA,0.03493708873489699,1.035554558702936,0.005611638857472274,0.023938478680005836,0.04593569878978814,1.0242273041365721,1.0470070849697253,0.0,6.225826291079995,4.790245837924694e-10,30.959181251147292
alpha_,area_GREAT LAKES AREA,0.0397462406915099,1.0405466922780993,0.006144613659626636,0.027703019219728835,0.051789462163290965,1.0280903160151562,1.0531539904077178,0.0,6.468468628493886,9.900106500430462e-11,33.23376499868829
alpha_,area_HOUSTON AREA,0.043159530864582976,1.0441044484504156,0.0063078048046832,0.030796460625895195,0.05552260110327076,1.0312755773375473,1.0570929082684246,0.0,6.842242618626909,7.796289901029159e-12,36.900349401182226
alpha_,area_LOS ANGELES AREA,0.08656273531556315,1.0904197734006116,0.005820345654493903,0.07515506745518089,0.09797040317594541,1.0780513085969148,1.1029301413960957,0.0,14.872438933025885,4.976678037969257e-50,163.78122168828543
alpha_,area_MIDWEST AREA,0.05947344818110815,1.0612775817552884,0.005726299513105816,0.0482501073707315,0.0706967889914848,1.0494330934560097,1.0732557535680245,0.0,10.38601771440542,2.8709089746655515e-25,81.52669478315079
alpha_,area_NEW ENGLAND AREA,0.023789456846566238,1.0240746832780534,0.005766068240317676,0.012488170763143347,0.03509074292998913,1.0125664735811404,1.0357136882302742,0.0,4.125767482289731,3.6950044455159826e-05,14.72406437433602
alpha_,area_NEW YORK CITY AREA,0.03021146797985073,1.030672465134061,0.005008918164333026,0.02039416877624952,0.04002876718345194,1.0206035508047397,1.0408407158175341,0.0,6.031535550925418,1.6240898584455662e-09,29.197721397111334
alpha_,area_NORTH FLORIDA AREA,0.018182555851694555,1.0183488649661199,0.006168986202055775,0.006091565074540702,0.03027354662884841,1.0061101563879637,1.0307364498742784,0.0,2.947413927694527,0.0032044394647065227,8.285712268602209
alpha_,area_NORTHWEST/ROCKY MOUNTAIN AREA,0.01615661245817953,1.0162878362795225,0.0061225144511570006,0.004156704639085794,0.028156520277273264,1.0041653557183212,1.0285566617968804,0.0,2.638885148752297,0.008317915555194953,6.9095622460735715
alpha_,area_OHIO AREA,0.030344149174858948,1.0308092250609318,0.0061699506046648134,0.01825126820332478,0.042437030146393113,1.0184188405154764,1.0433503546859917,0.0,4.918053825571495,8.740888051387793e-07,20.125716802992713
alpha_,area_PHILADELPHIA AREA,0.014776122436365356,1.0148858290134248,0.007420583464126883,0.0002320461024031932,0.02932019877032752,1.0002320730271828,1.0297542677420974,0.0,1.9912345852313564,0.04645510326241097,4.428019099152549
alpha_,area_SOUTH FLORIDA AREA,0.016293826840431617,1.0164272951548308,0.006713909367874859,0.0031348062839308133,0.02945284739693242,1.0031397249274716,1.0298908722914566,0.0,2.426876198001027,0.01522945179634131,6.036992178674023
alpha_,area_SOUTHWEST AREA,0.044945437474430874,1.045970787543885,0.005765739780888583,0.03364479515965939,0.05624607978920236,1.0342171825273567,1.0578579691758658,0.0,7.795259443273755,6.427627700487064e-15,47.14463505531424
alpha_,area_TENNESSEE AREA,0.04484266441020255,1.0458632954446967,0.007363892039592682,0.030409701226559692,0.05927562759384541,1.0308767989353256,1.0610676599649274,0.0,6.089533112259333,1.1324044280333405e-09,29.71796355825832
alpha_,asl_flag_Y,-0.03580262179833105,0.9648307112410472,0.00340781305371953,-0.042481812649666786,-0.029123430946995307,0.9584078962626084,0.9712965690120259,0.0,-10.506040452909678,8.102433154219444e-26,83.3517752538392
alpha_,avg3mou,0.00018449127498057442,1.0001845082945424,3.2289130011567066e-05,0.0001212057430657716,0.00024777680689537724,1.0001212130887787,1.0002478075061039,0.0,5.713727031805544,1.1052824455155854e-08,26.431009673938437
alpha_,avg3qty,2.4613318438075e-05,1.0000246136213482,2.497497956253272e-05,-2.4336742019113046e-05,7.356337889526305e-05,0.9999756635541168,1.0000735660847468,0.0,0.9855190622457893,0.3243691727547503,1.6242913789916817
alpha_,avg6mou,0.00014064464514703743,1.000140654536069,1.1452651060196328e-05,0.00011819786154154815,0.0001630914287525267,1.000118204847184,1.0001631047288826,0.0,12.28053176577148,1.1523830860149185e-34,112.74093483541365
alpha_,avgmou,-3.987475285347674e-05,0.9999601260421339,1.6557654844400125e-05,-7.232716001694613e-05,-7.422345690007345e-06,0.9999276754555291,0.9999925776818556,0.0,-2.4082367477881426,0.016029782257767865,5.96310136114889
alpha_,avgqty,0.00024048176839893665,1.0002405106864574,3.8913356430087314e-05,0.00016421299127839537,0.0003167505455194779,1.0001642264749695,1.0003168007162706,0.0,6.179928704710735,6.413055654223448e-10,30.53826902154763
alpha_,avgrev,-0.012195473088383507,0.987878590308419,0.00010566409148057427,-0.012402570902144578,-0.011988375274622437,0.987674023995454,0.9880831989910073,0.0,-115.41738463369626,0.0,inf
alpha_,change_mou,0.00012037814849582117,1.000120385394236,1.1566677506525293e-05,9.770787716224203e-05,0.0001430484198294003,1.0000977126507324,1.0001430586517426,0.0,10.407322969617708,2.295870363846656e-25,81.84916118954138
alpha_,change_rev,-0.00013258676747250438,0.9998674220217645,3.490839193772448e-05,-0.00020100595842865277,-6.4167576516356e-05,0.9997990142419155,0.9999358344821786,0.0,-3.798134491816042,0.00014578921595318292,12.743828372273258
alpha_,dualband_T,-0.09606235247714183,0.9084073728528508,0.005744387285350514,-0.10732114466967865,-0.084803560284605,0.8982371625891236,0.9186927344163864,0.0,-16.722819633370218,8.938810996190411e-63,206.12138703508364
alpha_,dualband_Y,-0.04883977406933259,0.9523337060291907,0.002455970097838164,-0.053653387008202706,-0.044026161130462475,0.9477605556978487,0.9569289228031878,0.0,-19.886143610756164,5.364519820270875e-88,289.9062233093796
alpha_,mou_Mean,-0.0001415901499386478,0.9998584198734736,3.106762354807768e-05,-0.00020248157317812854,-8.069872669916705e-05,0.999797538924832,0.9999193045293554,0.0,-4.5574824775230915,5.177040791837645e-06,17.55944088354758
alpha_,mou_cvce_Mean,-7.791772117883714e-06,0.9999922082582379,1.4076425112702797e-05,-3.5381058369856365e-05,1.979751413408894e-05,0.9999646195675324,1.0000197977101062,0.0,-0.5535334472708053,0.5798981839873252,0.7861284745625351
alpha_,mou_opkv_Mean,6.847631495541713e-05,1.0000684786595118,1.342843648995855e-05,4.215706306641492e-05,9.479556684441935e-05,1.0000421579516878,1.000094800060086,0.0,5.099351291315412,3.408195084568213e-07,21.48448874663958
alpha_,mou_peav_Mean,0.00011184775060313728,1.000111854005796,1.3788617690369052e-05,8.482255653342207e-05,0.00013887294467285248,1.0000848261540682,1.0001388825879667,0.0,8.1115999525652,4.995754177725536e-16,50.83014702910253
alpha_,mouowylisv_Mean,-7.389784333274134e-05,0.9999261048870456,3.059741153197991e-05,-0.0001338676679555725,-1.3928018709910194e-05,0.9998661412919209,0.9999860720782844,0.0,-2.415166500457221,0.01572801823692611,5.990519290151218
alpha_,new_cell_U,-0.03505168794537716,0.9655555073874097,0.0030400760043075357,-0.04101012742408436,-0.02909324846666995,0.9598194094003736,0.9713258855940314,0.0,-11.529872245204338,9.328203561701659e-31,99.75817166988094
alpha_,new_cell_Y,0.00827217377809498,1.0083064827455992,0.0035626625205666786,0.0012894835487135999,0.01525486400747636,1.001290315290092,1.0153718133708804,0.0,2.321907767109865,0.020237902502998773,5.62679641581609
alpha_,rev_Mean,-0.0009757148500322572,0.9990247610049232,5.354893074850715e-05,-0.0010806688257099606,-0.0008707608743545536,0.9989199148865601,0.9991296181278809,0.0,-18.220995945086322,3.5169520015551775e-74,244.00835337609337
alpha_,totcalls,0.000290402124291911,1.0002904442950709,3.709963031172506e-05,0.00021768818504117938,0.00036311606354264264,1.0002177118808335,1.0003631819981609,0.0,7.8276285195254784,4.971583286108348e-15,47.5152160473263
alpha_,totmou,0.00011053800124099165,1.000110544110791,1.4567888529331176e-05,8.198546439270837e-05,0.00013909053808927493,1.0000819888252928,1.0001391002116267,0.0,7.587784668892338,3.25421113007049e-14,44.804685473717335
alpha_,totrev,-0.0008945810763387033,0.9991058189420206,2.390632008811098e-05,-0.0009414366027142873,-0.0008477255499631194,0.9990590064096906,0.9991526336678278,0.0,-37.420275184200925,1.8291001493226412e-306,1015.638862965927
alpha_,Intercept,2.971679011055477,19.52467423453058,0.0057264816079422584,2.960455313345779,2.9829027087651747,19.30676038022674,19.745047665012,0.0,518.9362709091654,0.0,inf
