param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,adjmou,-1.699051018321844e-05,0.9999830096341547,1.712766752749619e-05,-5.056012167628717e-05,1.6579101309850288e-05,0.9999494411564651,1.0000165792387439,0.0,-0.9919920593941025,0.3212013989613679,1.6384499185009
lambda_,adjqty,-0.0005954828071682882,0.9994046944575308,4.599181219326266e-05,-0.0006856251026508131,-0.0005053405116857633,0.9993146098845325,0.9994947871513252,0.0,-12.947583032084143,2.424683842935052e-38,124.95547096067374
lambda_,adjrev,0.0016631192003743768,1.001664502950119,2.3498576162529688e-05,0.0016170628374078471,0.0017091755633409065,1.0016183709885438,1.0017106370364135,0.0,70.77531799677081,0.0,inf
lambda_,area_CALIFORNIA NORTH AREA,0.03626619155409496,1.0369318322526726,0.007309522345192313,0.021939791013327277,0.050592592094862644,1.022182238060885,1.0518942559387734,0.0,4.961499512748367,6.995104588027833e-07,20.44715103605652
lambda_,area_CENTRAL/SOUTH TEXAS AREA,0.10948502148170713,1.1157033592268142,0.0082459836572186,0.0933231904964528,0.12564685246696147,1.0978164817934062,1.1338816700551693,0.0,13.27737551187881,3.13179522330962e-40,131.23013391235918
lambda_,area_CHICAGO AREA,0.029507785091087944,1.0299474536754232,0.007626683925162273,0.014559759276299317,0.044455810905876574,1.0146662688615737,1.0454587778133844,0.0,3.869019010180117,0.00010927412296292512,13.15976058048893
lambda_,area_DALLAS AREA,0.08808520950625595,1.0920811737613028,0.0075830581525256485,0.07322268863463284,0.10294773037787906,1.0759701165540434,1.1084334701631664,0.0,11.61605354126394,3.415520728922375e-31,101.2076653935161
lambda_,area_DC/MARYLAND/VIRGINIA AREA,0.04624997531767907,1.0473361864327906,0.007348677758213615,0.03184683157758984,0.060653119057768295,1.032359368338824,1.0625302787503454,0.0,6.29364585567594,3.100948555255178e-10,31.58657135703914
lambda_,area_GREAT LAKES AREA,0.08094380676048435,1.084309963965262,0.007945956543066282,0.06537001811335405,0.09651759540761465,1.0675539656162427,1.1013289593052673,0.0,10.186792027086618,2.2713586833664356e-24,78.54271872895623
lambda_,area_HOUSTON AREA,0.0595966314882473,1.0614083214899128,0.008185249088422145,0.04355383807045059,0.07563942490604401,1.0445162275365132,1.0785735972576376,0.0,7.2809795822274275,3.314048438853178e-13,41.45647054407757
